Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
92675303-ca5b-136a-169b-e764c5753f06,1998-06-04,,999-62-9859,S99963661,X20663148X,Mr.,Lorenzo669,Julio255,Urrutia540,,,,white,hispanic,M,Carolina  Puerto Rico  PR,386 Altenwerth Orchard Apt 67,Glendale,California,Los Angeles County,6037,91210,34.21521949034581,-118.20846654003923,116696.36,17596.82,88407
4113255f-4e35-506a-ddef-4429caa17ffc,1961-07-17,,999-88-1434,S99967663,X63258904X,Mrs.,Rasheeda241,Mirian768,Cole117,,Heaney114,M,white,nonhispanic,F,Boyes Hot Springs  California  US,946 Carroll Arcade Suite 20,Los Angeles,California,Los Angeles County,6037,90045,34.134192236551335,-118.49773037454298,489237.19,705426.88,45680
abc59f62-dc5a-5095-1141-80b4ee8be73b,1996-07-10,,999-37-1058,S99918022,X63553287X,Mrs.,Jacque955,Jin479,Hickle134,,Will178,M,white,nonhispanic,F,Santa Cruz  California  US,492 Keebler Estate,Fairfield,California,Solano County,6095,94585,38.18324005715623,-121.9588555053258,358943.39,162834.95,41915
9df4460a-2f66-2d07-de9e-0afaf84bb157,1972-11-16,,999-18-7495,S99917617,X52819190X,Mr.,Keven605,Jeff859,Daugherty69,,,M,white,hispanic,M,Toro Canyon  California  US,1041 Schuppe Vale,Avenal,California,Kings County,6031,93204,36.0444093987823,-120.0962778445222,11287.47,214247.90,3229
28d7b56c-6056-d0a2-2991-39d6e917216c,2000-01-01,,999-31-6091,S99925913,X74662918X,Ms.,Angela104,Bella510,Funk324,,,,white,hispanic,F,Orange  California  US,677 Bosco Extension,Isla Vista,California,Santa Barbara County,6083,93117,34.498327715195025,-120.05797683062254,6300.00,378562.63,10451
239ae86a-96db-6211-9042-d3f2850aabb8,1970-07-14,,999-74-7366,S99959125,X84547252X,Mr.,Darrell400,Harry448,Muller251,,,M,white,hispanic,M,Dublin  California  US,541 Stracke Plaza,San Jose,California,Santa Clara County,6085,95140,37.30226576037261,-121.96683622886896,226907.09,1384781.35,3928
6c434506-fb4b-3e3f-c19d-553dec3b6c17,1960-09-19,,999-44-3322,S99917188,X7267613X,Mrs.,Claudia969,,Alarcón922,,Pacheco179,M,asian,hispanic,F,La Paz  Baja California  MX,625 Doyle Row,Sacramento,California,Sacramento County,6067,95818,38.535446317411456,-121.35736776420649,34137.67,1976891.19,5779
a0b63e97-b6fd-5fe1-8f2d-2bec915efa97,1994-03-26,,999-53-6488,S99963883,X85410503X,Mr.,Luther918,Monroe732,MacGyver246,,,M,white,nonhispanic,M,Richmond  California  US,250 Morar Fork Apt 66,Los Angeles,California,Los Angeles County,6037,90066,33.803958143636194,-118.16499538672404,19547.51,52669.94,41800
59844213-b884-17cb-59e9-c07a73a06f41,1976-11-30,2023-01-28,999-75-8169,S99935321,X82368776X,Mr.,Frederick289,Galen747,Breitenberg711,,,M,asian,nonhispanic,M,Oroville  California  US,227 Stiedemann Union Suite 28,Brea,California,Orange County,6059,92870,33.9393011179221,-117.76723948180056,11383.04,178966.66,20100
6872def5-772f-427c-3053-de6e1c71ce0a,1960-02-26,,999-96-6821,S99933974,X36941821X,Mr.,Alfred550,Andres25,West559,,,M,white,hispanic,M,Clovis  California  US,1037 Stehr Park,Chino Hills,California,San Bernardino County,6071,91709,34.00456552463694,-117.78349494036952,196746.21,167805.26,363895
